2020,1537,2274
2019,1877,1458
2015,1573,1156
2017,1586,1270
2018,1644,1406
2016,1606,1309
2014,1344,1121
2012,1147,815
2010,924,732
2013,1230,999
2007,726,592
2008,859,679
2011,1079,703
2009,918,676
2006,695,696
2005,558,533
2002,80,99
2004,488,548
2003,199,252
1992,104,66
1967,0,1
1993,77,68
1996,64,62
1957,0,1
1981,23,34
1988,70,65
1991,101,58
1995,85,67
1994,87,48
1970,3,11
1997,48,71
1984,25,49
1983,27,35
1990,85,50
1989,81,53
1987,56,56
1999,71,55
2000,77,62
1965,1,0
1986,47,66
1985,31,47
2001,78,90
1998,71,43
1977,7,21
1963,0,1
1976,3,17
1973,3,6
1971,2,1
1980,8,35
1979,10,35
1978,13,19
1975,7,14
1972,2,3
1974,2,13
1982,25,30
1961,0,1
1969,1,1
